del;del_nom;gou;gou_nom;reg;reg_nom;zon;zon_nom;cap_gou;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS1235;Kalaat Snan;TS123;Le Kef;TS12;Nord-ouest;TS1;Nord;0;16454;5044;4156;585;1318;16051;516,06;0,141
TS1236;Kalaat Khasbah;TS123;Le Kef;TS12;Nord-ouest;TS1;Nord;0;7353;2871;1837;328;588;7156;217,6;0,104
TS1237;Djerissa;TS123;Le Kef;TS12;Nord-ouest;TS1;Nord;0;11298;11298;3093;438;957;10974;174,61;0,14
TS1238;El Ksour;TS123;Le Kef;TS12;Nord-ouest;TS1;Nord;0;17100;5357;3589;400;890;16888;456,45;0,171
TS1239;Dahmani;TS123;Le Kef;TS12;Nord-ouest;TS1;Nord;0;30749;14061;6925;812;1854;30254;530;0,218
TS123A;Es-Sers;TS123;Le Kef;TS12;Nord-ouest;TS1;Nord;0;25915;11927;5786;928;1256;26111;435;0,201
TS1240;Siliana Nord;TS124;Siliana;TS12;Nord-ouest;TS1;Nord;1;26102;16626;6012;2085;7118;26971;379,11;0,325
TS1241;Siliana Sud;TS124;Siliana;TS12;Nord-ouest;TS1;Nord;0;29286;7617;6531;1332;1318;28972;478,79;0,256
TS1242;Bou Arada;TS124;Siliana;TS12;Nord-ouest;TS1;Nord;0;20877;12273;4703;615;1433;20871;393,72;0,278
TS1243;Gaafour;TS124;Siliana;TS12;Nord-ouest;TS1;Nord;0;17963;9358;4700;689;1236;17719;494,45;0,211
TS1244;El Krib;TS124;Siliana;TS12;Nord-ouest;TS1;Nord;0;21546;7811;4796;981;1123;21154;434,19;0,255
TS1245;Bourouis;TS124;Siliana;TS12;Nord-ouest;TS1;Nord;0;15712;3700;3216;317;1011;15489;273,11;0,2
TS1246;Makthar;TS124;Siliana;TS12;Nord-ouest;TS1;Nord;0;31139;12942;6383;766;3384;30721;351,12;0,223
TS1247;Er-Rouhia;TS124;Siliana;TS12;Nord-ouest;TS1;Nord;0;29991;4307;5341;685;1614;31342;621,79;0,115
TS1248;Kesra;TS124;Siliana;TS12;Nord-ouest;TS1;Nord;0;17763;2490;3698;353;904;17458;438,68;0,124
TS1249;Bargou;TS124;Siliana;TS12;Nord-ouest;TS1;Nord;0;13823;4547;3134;450;767;13552;442,7;0,175
TS124A;El Aroussa;TS124;Siliana;TS12;Nord-ouest;TS1;Nord;0;9783;2621;2561;292;349;9613;334,34;0,162
TS2110;Sousse Medina;TS211;Sousse;TS21;Centre-est;TS2;Centre;1;29680;29680;11946;4637;17760;29041;7,63;0,686
TS2111;Sousse Riadh;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;65333;65333;17941;13648;4111;79934;42,85;0,465
TS2112;Sousse Jawhara;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;62663;62663;19738;14111;2296;75383;13,52;0,679
TS2113;Sousse Sidi Abdelhamid;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;46257;46257;11508;6900;1697;53783;11,7;0,657
TS2114;Hammam Sousse;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;34685;34685;12503;4229;2130;39143;17,6;0,624
TS2115;Akouda;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;25717;21237;8439;2516;1113;28672;45,22;0,551
TS2116;Kalaa Kebira;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;51196;45990;10693;1153;1178;53977;244,43;0,432
TS2117;Sidi Bou Ali;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;17606;9011;4435;667;610;18725;121,66;0,382
TS2118;Hergla;TS211;Sousse;TS21;Centre-est;TS2;Centre;0;7913;6332;2111;368;285;8354;96,71;0,407
